"id","source","pmid","pmcid","DOI","title","authorString","journalTitle","issue","journalVolume","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","luceneScore","tmAccessionTypeList","dbCrossReferenceList","dvcs"
"25648398","MED","25648398","PMC4235777","10.1016/j.comgeo.2014.08.006","Weighted straight skeletons in the plane.","Biedl T, Held M, Huber S, Kaaser D, Palfrader P.","Comput Geom","2","48","2015","0925-7721","120-133","journal article; research-article","Y","Y","N","0","N","Y","N","N","N","732.57526",NA,NA,"code.google.com"
"25537608","MED","25537608","PMC4294030","10.1107/s1600577514021717","MX1: a bending-magnet crystallography beamline serving both chemical and macromolecular crystallography communities at the Australian Synchrotron.","Cowieson NP, Aragao D, Clift M, Ericsson DJ, Gee C, Harrop SJ, Mudie N, Panjikar S, Price JR, Riboldi-Tunnicliffe A, Williamson R, Caradoc-Davies T.","J Synchrotron Radiat","pt 1","22","2015","0909-0495","187-190","journal article; research support, non-u.s. gov't; research-article","Y","Y","N","0","Y","Y","N","N","N","732.57526",NA,NA,"code.google.com"
"25678804","MED","25678804","PMC4324543","10.2147/ott.s73690","Novel covalent modification of human anaplastic lymphoma kinase (ALK) and potentiation of crizotinib-mediated inhibition of ALK activity by BNP7787.","Parker AR, Petluru PN, Nienaber VL, Zhao M, Ayala PY, Badger J, Chie-Leon B, Sridhar V, Logan C, Kochat H, Hausheer FH.","Onco Targets Ther",NA,"8","2015","1178-6930","375-383","journal article; research-article","Y","Y","N","0","N","Y","N","N","Y","728.3185","pdb",NA,"code.google.com"
"25265629","MED","25265629",NA,"10.1109/tmi.2014.2360496","Exact confidence intervals for channelized hotelling observer performance in image quality studies.","Wunderlich A, Noo F, Gallas BD, Heilbrun ME.","IEEE Trans Med Imaging","2","34","2015","0278-0062","453-464","journal article","N","N","N","0","N","N","N","N","N","726.8589",NA,NA,"code.google.com"
"25577191","MED","25577191",NA,"10.1093/molbev/msu411","CodABC: A Computational Framework to Coestimate Recombination, Substitution and Molecular Adaptation rates by approximate Bayesian computation.","Arenas M, Lopes JS, Beaumont MA, Posada D.","Mol Biol Evol",NA,NA,"2015","0737-4038",NA,"journal article","N","N","N","0","N","N","N","N","N","726.8589",NA,NA,"code.google.com"
"25217575","MED","25217575",NA,"10.1093/bioinformatics/btu609","EUROCarbDB(CCRC): a EUROCarbDB node for storing glycomics standard data.","Al Jadda K, Porterfield MP, Bridger R, Heiss C, Tiemeyer M, Wells L, Miller JA, York WS, Ranzinger R.","Bioinformatics","2","31","2015","1367-4803","242-245","journal article","N","N","N","0","N","N","N","N","N","726.8589",NA,NA,"code.google.com"
"25282642","MED","25282642",NA,"10.1093/bioinformatics/btu652","LocalAli: an evolutionary-based local alignment approach to identify functionally conserved modules in multiple networks.","Hu J, Reinert K.","Bioinformatics","3","31","2015","1367-4803","363-372","journal article","N","N","N","0","N","N","N","N","N","725.9772",NA,NA,"code.google.com"
"25223640","MED","25223640",NA,"10.1093/bioinformatics/btu568","JAMM: a peak finder for joint analysis of NGS replicates.","Ibrahim MM, Lacadie SA, Ohler U.","Bioinformatics","1","31","2015","1367-4803","48-55","journal article; research support, non-u.s. gov't","N","N","N","0","N","N","N","N","N","725.9772",NA,NA,"code.google.com"
"25673340","MED","25673340",NA,NA,"MESMER: Minimal Ensemble Solutions to Multiple Experimental Restraints.","Ihms EC, Foster MP.","Bioinformatics",NA,NA,"2015","1367-4803",NA,"journal article","N","N","N","0","N","N","N","N","N","725.9772",NA,NA,"code.google.com"
"25209223","MED","25209223",NA,"10.1093/sysbio/syu062","ModelOMatic: fast and automated model selection between RY, nucleotide, amino acid, and codon substitution models.","Whelan S, Allen JE, Blackburne BP, Talavera D.","Syst Biol","1","64","2015","1063-5157","42-55","journal article; research support, non-u.s. gov't","N","N","N","0","N","N","N","Y","N","725.0954",NA,NA,"code.google.com"
