"","full_name","description","language","created_at"
"1","percyfal/ratatosk.ext.scilife","Ratatosk extension for use at Science for Life Laboratory","Python","2013-03-22T10:40:05Z"
"2","iPlantCollaborativeOpenSource/TNRS","The Taxonomic Name Resolution Service is a free utility for correcting and standardizing plant names.","Java","2011-06-10T13:44:23Z"
"3","bjpop/rover","Read overlap variant caller.","Python","2013-08-07T03:39:22Z"
"4","jstjohn/SeqPrep","Tool for stripping adaptors and/or merging paired reads with overlap into single reads.","C","2011-03-10T17:03:26Z"
"5","jrwalsh/CycTools","","Java","2014-04-16T16:17:50Z"
"6","armon/bloomd","C network daemon for bloom filters","C","2012-02-12T02:22:46Z"
"7","gkudla/hyb","hyb: a bioinformatics pipeline for the analysis of CLASH (crosslinking, ligation and sequencing of hybrids) data","Perl","2013-11-07T10:48:25Z"
"8","dbcls/bh11","Repository for BioHackathon 2011",NA,"2011-08-17T12:17:41Z"
"9","dbcls/bh11","Repository for BioHackathon 2011",NA,"2011-08-17T12:17:41Z"
"10","dbcls/bh12","NBDC/DBCLS BioHackathon 2012",NA,"2012-05-11T08:38:05Z"
"11","cjb105/Polyfit","Add-on to DESeq to improve p-values and q-values","R","2014-07-25T01:31:47Z"
"12","larisa-soldatova/EXACT","an ontology for biomedical protocols",NA,"2014-02-17T11:22:29Z"
"13","ksahlin/BESST","BESST - scaffolder for genomic assemblies","Python","2013-01-22T11:32:59Z"
"14","obophenotype/uberon","uber-anatomy ontology","Web Ontology Language","2010-03-16T06:12:09Z"
"15","fusesource/mqtt-client","A Java MQTT Client","Java","2011-12-17T05:12:58Z"
"16","Flowdalic/asmack","A build environment for the XMPP client library Smack on Android","Java","2011-04-26T18:25:30Z"
"17","pophealth/hqmf2js","Library to convert HQMF to JavaScript","Ruby","2012-04-12T14:10:04Z"
"18","waqarini/excel2rdf","","Java","2013-04-08T09:58:15Z"
"19","wilkinson/qmachine","A platform for World Wide Computing","JavaScript","2014-07-05T18:04:26Z"
"20","wilkinson/quanah","JavaScript framework for distributing and scheduling computations","JavaScript","2014-07-05T17:27:25Z"
"21","usm/usm.github.com","Universal Sequence Maps","JavaScript","2011-09-05T23:22:29Z"
"22","douglascrockford/JSON-js","JSON in JavaScript","JavaScript","2010-11-18T17:39:50Z"
"23","fbergmann/CombineArchive","Libraries and Tools for accessing the COMBINE archive","C#","2013-04-04T14:37:17Z"
"24","mglont/CombineArchive","A Java Library to support the Combine Archive","Java","2013-07-26T09:55:06Z"
"25","stain/ro-combine-archive","Convert Combine Archive (OMEX) to RO Bundle","Java","2014-04-25T09:22:10Z"
"26","balhoff/image-depictions-view","Protégé plugin which displays image depictions of classes and individuals.","Java","2011-03-25T15:01:36Z"
"27","balhoff/obo-actions","Protégé menu actions implementing OBO ontology editing conventions.","Java","2012-12-05T19:24:00Z"
"28","idekerlab/genomespace-cytoscape-weblaunch","GenomeSpace Cytoscape Weblaunch","Java","2013-05-23T22:35:55Z"
"29","idekerlab/genomespace-cytoscape","GenomeSpace for Cytoscape 3.x (core project)","Java","2013-01-28T23:29:38Z"
"30","F1000Research/genomespace-cytoscape-weblaunch","GenomeSpace Cytoscape Weblaunch","Java","2014-06-11T09:50:31Z"
"31","F1000Research/genomespace-cytoscape","GenomeSpace for Cytoscape 3.x (core project)","Java","2014-06-17T08:58:38Z"
"32","INCF/one_click","One Click Sharing","Python","2011-10-04T17:56:02Z"
