"ext_id","pmid","DOI","out"
"PMC1088946",15774028,"10.1186/gb-2005-6-3-r27","http://sourceforge.net/projects/qtlreaper/"
"PMC1149498",15941469,"10.1186/1471-2105-6-140","sourceforge.net"
"PMC119856",12150718,"10.1186/1471-2105-3-20","http://sourceforge.net/projects/slritools/"
"PMC119856",12150718,"10.1186/1471-2105-3-20","http://sourceforge.net/projects/slritools"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://sourceforge.net/projects/slritools/"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/slritools/slri/seqhound/examples/"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/slritools/slri/seqhound/asn"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/slritools/slri/seqhound/genomes/chromff"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/slritools/slri/seqhound/shreadme"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/slritools/slri/seqhound/examples"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/slritools/slri/textindex"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/slritools/slri/seqhound/perl"
"PMC138791",12401134,"10.1186/1471-2105-3-32","http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/slritools/slri/seqhound/include_cxx"
"PMC1463019",16710451,"10.1371/journal.pcbi.0020057","http://sourceforge.net/projects/free2bind"
"PMC1570179",16978048,"10.1371/journal.pcbi.0020123","http://sourceforge.net/projects/oscill8"
"PMC1617131",17054398,"10.1371/journal.pgen.0020172","http://sourceforge.net/projects/qtlreaper"
"PMC1681455",16729052,"10.1038/msb4100024","http://sourceforge.net/projects/sashimi/"
"PMC1681455",16729052,"10.1038/msb4100024","http://sashimi.sourceforge.net/schema_revision/pepXML/pepXML_v18.xsd"
"PMC1681455",16729052,"10.1038/msb4100024","http://sashimi.sourceforge.net/schema_revision/protXML/protXML_v3.xsd"
"PMC1713258",17194220,"10.1371/journal.pgen.0020214","http://sourceforge.net/projects/wgs-assembler"
"PMC1794590",17116260,"10.1186/gb-2006-7-11-r111","The eXtensible Genome Data Broker (xGDB) provides a software infrastructure consisting of integrated tools for the storage, display, and analysis of genome features in their genomic context. Common features include gene structure annotations, spliced alignments, mapping of repetitive sequence, and microarray probes, but the software supports inclusion of any property that can be associated with a genomic location. The xGDB distribution and user support utilities are available online at the xGDB project website, http://xgdb.sourceforge.net/."
"PMC1832202",17355639,"10.1186/1471-2334-7-17","http://sourceforge.net/projects/influsim"
"PMC1866177",17505544,"10.1371/journal.pone.0000451","http://.sourceforge.net/projects/arrayoligosel"
"PMC1874720",17513286,NA,"http://ltp.sourceforge.net/documentation/technical_papers/kernel_coverage.pdf"
"PMC1874720",17513286,NA,"sourceforge.net"
"PMC1874720",17513286,NA,"http://sourceforge.net/"
"PMC1885959",17442244,"10.1016/j.neuron.2007.03.025","http://sourceforge.net/projects/moose-g3"
"PMC1891329",17571921,"10.1371/journal.ppat.0030084","http://primer3.sourceforge.net"
"PMC1894650",17593978,"10.1371/journal.pone.0000579","http://sourceforge.net/projects/tagger"
"PMC1896217",17594174,"10.1371/journal.pmed.0040225","http://sourceforge.net/projects/jabref"
"PMC1933133",17485472,"10.1093/nar/gkm306","http://sourceforge.net/projects/primer3/"
"PMC1933217",17631616,"10.1093/nar/gkm384","http://code.google.com/p/repk"
"PMC1942082",17712414,"10.1371/journal.pone.0000766","http://sourceforge.net/projects/orthomcl/"
"PMC1964779",17803354,"10.1371/journal.pbio.0050254","http://sourceforge.net/projects/tracetuner/"
"PMC1964779",17803354,"10.1371/journal.pbio.0050254","https://sourceforge.net/projects/wgs-assembler/"
"PMC1964779",17803354,"10.1371/journal.pbio.0050254","http://sourceforge.net/projects/kmer/"
"PMC2034396",17953480,"10.1371/journal.ppat.0030148","http://sourceforge.net/projects/wgs-assembler/"
"PMC2034396",17953480,"10.1371/journal.ppat.0030148","http://manatee.sourceforge.net/"
"PMC2034396",17953480,"10.1371/journal.ppat.0030148","http://sybil.sourceforge.net/"
"PMC2034529",17971852,"10.1371/journal.pone.0001087","http://primer3.sourceforge.net/"
"PMC2039778",17917780,"10.1007/s10278-007-9064-1","DCM4CHEE is easily set up and includes comprehensive logging of DICOM transactions. The archive comes in a precompiled (binary) version designed for two open-source and readily available databases, MySQL and POSTGRES. The package available on sourceforge.net4 comes with directions for setting up the archive on multiple operating systems.5 The depth of the installation documentation provides one example of the maturity of DCM4CHEE. Its web-based graphical user interface (GUI) provides the ability to search the archive and offers a number of other operations that can be performed without the need of in-depth DICOM knowledge. The log files allow the user to view the DICOM transactions produced by the GUI. By viewing the log of the GUI transactions, even a novice can glean the required information for DICOM transactions and, in the process, gain insight into how the standard works. Setting up and using the archive and experimenting with the toolkit is a productive way to gain experience with the DICOM standard."
"PMC2039778",17917780,"10.1007/s10278-007-9064-1","http://sourceforge.net/projects/dcm4che/"
"PMC2039778",17917780,"10.1007/s10278-007-9064-1","http://sourceforge.net/mail/?group_id=37982"
"PMC2039786",17710494,"10.1007/s10278-007-9066-z","http://sourceforge.net/projects/saxon"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net/projects/dcmrouter/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net/projects/dicomparser/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://opendicom.sourceforge.net/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://amide.sourceforge.net/index.html"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net/projects/eviewbox"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net/projects/ezdicom/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net/projects/medwx/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net/projects/osirix/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://xmedcon.sourceforge.net/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net/projects/cdmedicpacsweb/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://diowave-vs.sourceforge.net/"
"PMC2039818",17674101,"10.1007/s10278-007-9056-1","http://sourceforge.net/projects/miniwebpacs/"
"PMC2039840",17687608,"10.1007/s10278-007-9055-2","http://sourceforge.net/projects/rad-indexing/"
"PMC2039858",17680308,"10.1007/s10278-007-9057-0","http://sourceforge.net/projects/dvt, SOURCEFORGE.NET"
"PMC2129112",18092006,"10.1371/journal.pone.0001341","http://sourceforge.net/projects/fireworx"
"PMC2148102",18167549,"10.1371/journal.pone.0001390","http://code.google.com/p/beast-mcmc/"
"PMC2174524",18197241,"10.1371/journal.pone.0001428","http://primer3.sourceforge.net"
"PMC2229873",18044992,"10.1371/journal.pbio.0050318","http://sourceforge.net/projects/pymol/"
"PMC2238832",17932057,"10.1093/nar/gkm791","http://sourceforge.net/projects/chebi/"
"PMC2238838",18194960,"10.1093/nar/gkm908","http://sourceforge.net/tracker/?group_id=76834&atid=835555"
"PMC2267819",18351802,"10.1371/journal.pbio.0060063","http://primer3.sourceforge.net/"
"PMC2270342",18389060,"10.1371/journal.ppat.1000036","http://primer3.sourceforge.net/"
"PMC2272302",18368142,"10.1155/2007/79642","http://sourceforge.net/projects/biosig/"
"PMC2274883",18369424,"10.1371/journal.pcbi.1000030","https://sourceforge.net/projects/evhomeostasis/"
"PMC2275787",18404210,"10.1371/journal.ppat.1000044","http://sourceforge.net/project/showfiles.phpgroup_id84593"
"PMC2346469",18410675,"10.1186/1471-2148-8-111","http://sourceforge.net/projects/rexspecies"
"PMC2362120",18366717,"10.1186/1471-2148-8-90","http://code.google.com/webtoolkit"
"PMC2373883",18493300,"10.1371/journal.pone.0002208","http://sourceforge.net/projects/wormtracker"
"PMC2373921",18400774,"10.1093/bioinformatics/btn126","http://sourceforge.net/projects/renco/"
"PMC2396168",18460188,"10.1186/1471-2148-8-134","http://nemo2.sourceforge.net"
"PMC2405935",18523658,"10.1371/journal.pone.0002246","http://sourceforge.net/projects/biologicstylus/"
"PMC2423483",18636096,"10.1371/journal.pcbi.1000103","http://sourceforge.net/projects/lmfit"
"PMC2425481",18445633,"10.1093/nar/gkn168","http://sourceforge.net/projects/pga4genomics/"
"PMC2495022",18695738,"10.1155/2008/346129","http://sourceforge.net/projects/blox"
"PMC2522285",18787694,"10.1371/journal.pgen.1000187","https://sourceforge.net/projects/chipotle-perl/"
